epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,27.7608,1.33007,3.70222,1.92083,0.00893,1,0.01144,0.00343,3.36641,4.68822,4.90088,0.00025005,8.335e-05,0.00025005,8.335e-05,0.00025005,8.335e-05,0.00025005,8.335e-05
2,56.1688,1.29486,3.67679,1.85081,0,0,0,0,3.48485,4.72269,4.79532,0.000495649,0.000165216,0.000495649,0.000165216,0.000495649,0.000165216,0.000495649,0.000165216
3,79.1974,1.15081,3.5473,1.7301,0.00763,1,0.01185,0.00118,3.59623,4.61549,4.87781,0.000681836,0.000227279,0.000681836,0.000227279,0.000681836,0.000227279,0.000681836,0.000227279
4,101.113,1.02647,3.49033,1.6209,0,0,0,0,3.76432,4.75287,5.16124,0.000808612,0.000269537,0.000808612,0.000269537,0.000808612,0.000269537,0.000808612,0.000269537
5,126.342,0.9804,3.39666,1.60378,0,0,0,0,3.8246,4.62629,5.20653,0.000875975,0.000291992,0.000875975,0.000291992,0.000875975,0.000291992,0.000875975,0.000291992
6,150.017,0.92523,3.31233,1.56558,0,0,0,0,3.89405,4.72786,5.17813,0.000883927,0.000294642,0.000883927,0.000294642,0.000883927,0.000294642,0.000883927,0.000294642
7,175.066,0.88818,3.21085,1.41224,0,0,0,0,4.01419,4.74758,5.10611,0.000832466,0.000277489,0.000832466,0.000277489,0.000832466,0.000277489,0.000832466,0.000277489
8,198.592,0.82503,3.09885,1.41891,0.00588,1,0.00589,0.00059,4.14919,4.62952,5.06552,0.000721594,0.000240531,0.000721594,0.000240531,0.000721594,0.000240531,0.000721594,0.000240531
9,221.929,0.80329,3.01135,1.3814,0,0,0,0,4.30155,4.83639,5.52911,0.00055131,0.00018377,0.00055131,0.00018377,0.00055131,0.00018377,0.00055131,0.00018377
10,245.736,0.82282,2.85367,1.39494,0,0,0,0,4.28982,4.69844,5.67093,0.000321614,0.000107205,0.000321614,0.000107205,0.000321614,0.000107205,0.000321614,0.000107205
